,pros,contras,rates,contras_en,pros_en
0,"Salário pago sempre em dia, ótimos benefícios e chances de crescimento.",Dificuldade em troca de turno.,"5,0",Difficulty in shift change.,"Salary paid on time, great benefits and opportunities for growth."
1,Apenas 6 horas de serviço. Paga sempre na data prevista.,"Tem que passar por todo um stress pra conseguir vender, e a comissão é minúscula. Também faz descontos sem explicação no transporte principalmente. As reuniões com supervisores pressiona demais. Surreal. A pausa pra almoçar é só 20 minutos. A pessoa nem mastiga, apenas engole e volta pra atender.","5,0","You have to go through all the stress to be able to sell, and the commission is minuscule. It also makes unexplained discounts on shipping mainly. Meetings with supervisors put too much pressure on. surreal. The lunch break is only 20 minutes. The person doesn't even chew, he just swallows and goes back to answer.",Only 6 hours of service. Always pay on the due date.
2,"A empresa te dá a chance de escolher o horário melhor para trabalhar,remuneração por metas batidas por mês e trabalho home office.","Nada do que reclamar da liq. Ao contrário, só agradecer pela oportunidade que tenho.","5,0","Nothing to complain about liq. On the contrary, just thank you for the opportunity I have.","The company gives you the chance to choose the best time to work, remuneration based on targets set per month and home office work."
3,Dar oportunidade de crescer na empresa,Surpervisores que gosta de oprimir o funcionario,"4,0",Supervisors who like to oppress the employee,Give opportunity to grow in the company
4,"Área de descontração, alimentação, local bem higiênico.","Barulho no local de trabalho, fofocas.","4,0","Noise in the workplace, gossip.","Relaxation area, food, very hygienic place."
5,"Como trabalho em home office é um trabalho prático não tem muito problema em relação a isso, atualmente o problema é só no produto.","no momento não há nenhum motivo real, acho que apenas opção de folgas 2x na semana.","3,0","at the moment there is no real reason, I think only option of 2x a week off.","As I work at home office is a practical job, there is not much problem in this regard, currently the problem is only in the product."
6,"Flexível, bom relacionamento com supervisores","Muitas mudanças, carga horária em desacordo.","5,0","Many changes, workload in disagreement.","Flexible, good relationship with supervisors"
7,Flexibilidade de horário e ar condicionado.,Muita pressão para bater metas.,"2,0",A lot of pressure to hit targets.,Flexible schedule and air conditioning.
8,"Horário, aprendizado, amizades,benefícios, o meu setor era o melhor","Rh, falta de clareza nos processos , vale transporte sempre com erro","4,0","Rh, lack of clarity in the processes, transport allowance always with error","Hours, learning, friendships, benefits, my sector was the best"
9,paga em dia atualmente a a a,imprevisível a a a a a,"4,0",unpredictable a a a a a,currently pays up to date
10,Experiência . . . .,Irresponsabilidade . . . . .,"3,0",Irresponsibility. . . . .,Experience . . . .
11,"Ruim demais,nao é recomendo jamais","Algumas pessias sao legais,de resto é tudo ruim","2,0","Some people are nice, the rest are all bad","Too bad, I don't recommend it"
12,"Para oportunidade primeiro emprego é uma excelente experiência,","Possibilidade de crescimento, não tinha plano bem estabelecido de carreiras","4,0","Possibility of growth, had no well-established career plan","For first job opportunity is an excellent experience,"
13,Pagamentos de salário era sempre na data certa. Um bom Lugar pra começar a trabalhar.,"Baixo Salários, algumas funcões bastante estressante.","4,0","Low Wages, some pretty stressful roles.",Salary payments were always on time. A good place to start work.
14,É um ótima empresa por ser 6:20 de tempo trabalhado lhe permite fazer muita mas coisas durante o dia a dia,Por ser call centre dependendo do produto poder ser um pouco estressante,"4,0",Being a call center depending on the product can be a little stressful,It's a great company because 6:20 of working time allows you to do a lot more things during your day to day
15,"Fácil contratação, plano de saúde","Periodo de treinamento muito longo, atrasos nos beneficios e muita rotatividade de contratação e demissão","4,0","Very long training period, delays in benefits and a lot of hiring and firing turnover","Easy hiring, health plan"
16,"Paga super direitinho, vt em dinheiro",Meio desorganizados . . .,"5,0",Kinda disorganized. . .,"Pay super straight, vt in cash"
17,"Muitas vagas, e não demite tão facil","paga muito pouco, muito trabalho pra pouco dinheiro","3,0","pays very little, a lot of work for little money","Lots of vacancies, and not so easy to fire"
18,Era um bom ambiente de trabalho,Não tinha oportunidade de crescimento,"3,0",No opportunity for growth,It was a good working environment
